name,gender,meanings,origin
Aeðelu,f,"Noble, honorable",Old English
Agaïd,Unknown,Unknown,Unknown
Afiş,m,Unknown,Turkish
Aggthálgr,Unknown,Unknown,Unknown
Aguiñagalde,m,Unknown,Unknown
Agroquímicos,N/A,N/A,N/A
Aglaé,f,"Splendor, Beauty",Greek
Agnė,f,"Chaste, Pure, Holy",Lithuanian
Ahijó,m,"Brethren, Brother",Hebrew
Aibhlín,f,"pleasant, beautiful",Irish
Aidé,f,"Majestic, Honorable",Latin
Ahmmé,m,Uncertain,Uncertain
Aignéis,f,"Pure, chaste",Irish
Aikyō,m,"Harmony, Union",Japanese
Aislí,f,Uncertain,Irish
Ajamèl,m,Unknown,Unknown
Aimeé,f,"Beloved, loved one",French
Aimèe,f,"Beloved, Loved, Dearly loved",French
Aistė,f,"Uncertain, possibly derived from the Lithuanian word for 'dawn'",Lithuanian
Ajiatáz,Unknown,Unknown,Unknown
Ajcharaporn,f,Unknown,Thai
Akaṉamutaṉ,m,Unknown,Tamil
Akdülger,Unknown,Unknown,Unknown
Akbaş,m,White head,Turkish
Akrapovič,Unknown,Unknown,Unknown
Akél,Unknown,Unknown,Unknown
Akèl,m,"Energetic, Strong, Powerful",Hebrew
Akògun,m,"Warrior, Brave, Strong",Yoruba
Akkır,m,Akkir is a Turkish name that means 'white as a moonlight'.,Turkish
Akın,m,"brave, courageous, daring",Turkish
Alanáya,f,Uncertain,Uncertain
Alanáye,f,Uncertain,Uncertain
Alanáy,f,"Uncertain, possibly peaceful","Uncertain, possibly Irish or Native American"
Alanáyy,f,"Noble, Precious, Peaceful",Unknown
Albañez,m,Uncertain,Spanish
Ala的功效,m,"Noble, Defender of mankind","Germanic, Arabic"
Albertón,m,"Noble, Bright",Germanic
Albicò,,,
Alegría,f,"Joy, Happiness",Spanish
Alenáy,f,Unknown,Unknown
Alenáyah,f,Uncertain,
Alexzè,,,
Aleá,f,"noble, graceful",Latin
Aleáya,f,unknown,unknown
Aleáyah,f,Unknown,Unknown
Aleïa,f,"From the noble estate, Bright, Exalted",Greek
AleŠ,m,Defender of mankind,"Czech, Slovak"
Alfréd,m,"Elf counselor, Wise counselor",Nordic
Algın,m,"alert, sensitive",Turkish
Aliará,Unknown,Unknown,Unknown
Alinéa,f,Unknown,Unknown
Alibašić,Unknown,Unknown,Unknown
Aligül,f,red rose,Turkish
Alisées,f,Unknown,Unknown
Alizé,f,"Trade wind, gentle breeze",French
Alizée,f,"Joyful, Melody, Lively",French
Alié,m,"noble, exalted",Arabic
Aliénor,f,Unknown,Unknown
Aljaž,m,"Noble, renowned, bright",Slavic
Alkım,m,Unknown,Turkish
Allán,m,"handsome, cheerful",Gaelic
Alméstica,f,Unknown,Unknown
Almıla,f,Unknown,Unknown
Alrése,f,Unknown,Unknown
Altaïs,f,"Noble, High, Lofty",French
Altuğ,m,Red wolf,Turkish
Alvīne,f,"Noble friend, Beloved",Latin
Alæric,m,"Ruler of all, King of all",Germanic
Alészia,f,"Defender, Helper",Greek
Alânur,m,Uncertain,Turkish
Alíame,Unknown,Unknown,Unknown
Alí,m,"nobility, exalted, high-born",Arabic/Persian
Alícia,f,"Noble, Truthful",Latin
Alístair,m,Defender of the people,Gaelic
Alîn,f,"Noble, graceful",Turkish
Alİsya,f,"Noble, of noble kind",Turkish
Alíane,f,"Noble, Graceful",
Amachè,f,Unknown,Unknown
Alžběta,f,pledged to God,Czech
Amané,f,"Peace, Trust",Swahili
Amaré,m,"Beloved, Loved, Adored",Latin
Amaïa,f,Unknown,Basque
Amaïel,m,"God's people, beloved by God",Hebrew
Amaña,f,Unknown,Unknown
Amcık,f,Unknown,Turkish
Amañada,f,"Beloved, Gracious",Spanish
AmduÑ,,Unknown,Unknown
Amesià,,Unknown,Unknown
Amoné,f,Unknown,Unknown
Amoré,m/f,Love,Latin
Amporno,,I couldn't find any specific meanings for the name Amporno,Unknown
AmÉlia,f,"Work, effort, industrious, striving",Latin
Amálie,f,"hard-working, industrious",Latin
Amèlie,f,"Industrious, hardworking",German
Amélia,f,"Industrious, Hardworking, Striving",Latin
Aménhotep,m,"Peace of Amun, Amun is satisfied",Ancient Egyptian
América,f,"Unspecified, Unspecified",Spanish
Amíah,f,Unknown,Unknown
Amírthaswarna,m,Unknown,Unknown
Analsex,,,Unknown
Anahí,f,"Grace, Favored",Indigenous American
Analí,f,"Graced with god, favored one",Latin
AnaÎs,f,"Grace, favor",French
Anaël,"m,f","Grace, God has answered, Favored, Gift, Angel","Hebrew, French"
Anaësha,f,"Grace, Favor",Unknown
Anaraí,f,"Possibly meaning 'pearl' or 'boundless, infinite'",Irish
Analía,f,"Graced with God's bounty, merciful",Spanish
Anaìlé,f,"Grace, favor",Irish
Andjé,m,Unknown,Unknown
Anché,f,"Grace, favor, origin",Greek
Andreaù,m,"manly, courageous, strong","Italian, Catalan"
Andreína,f,"Warrior, Strong, Brave",Greek
Andriëtte,f,"Strong, brave",Greek
AndrÉ,m,"Manly, Brave, Warrior",Greek
András,m,"strong, manly",Greek
Andräa,f,"Manly, Strong, Brave",Greek
Andrès,m,"Manly, Brave, Strong",Greek
Andrèw,m,"Strong, Manly, Brave",Greek
Andréo,m,"Manly, brave, warrior",Greek
Andréanne,f,"Strong, Brave, Gracious",French
Andréw,m,"Manly, Brave, Warrior",Greek
Andrë,m,"Manly, Brave",Greek
Andrëa,f,"Manly, Strong, Courageous",Greek
Aneeyá,Unknown,Unknown,Unknown
Andrëw,m,"Manly, Warrior, Strong",Greek
Anebè,Unknown,Unknown,Unknown
Angéline,f,"Angel, Messenger of God",French
Angélique,f,angelic,French
Anijé,f,Unknown,Unknown
Aniël,m,Unknown,Unknown
Anjané,f,Unknown,Unknown
Anjé,m,"Grace, Gift of God",Greek
Anjezë,f,"Chaste, Pure, Holy",Albanian
Annamária,f,"Grace, bitter",Hebrew
AnnaraÍ,f,Unknown,Unknown
Annerié,f,Unclear,Unclear
Antionè,m,Not available,Not available
Antoiné,m,Unknown,Unknown
Anongporn,f,Unknown,Thai
Antonía,f,"Priceless, Highly praiseworthy",Latin
Antonín,m,"Priceless, Invaluable, Highly praiseworthy",Czech
Antysex,,,
Antouèno,m,"Strong, Brave, God is gracious",French
António,m,"praiseworthy, flourishing",Latin
Anunciação,f,Annunciation,Portuguese
Anàlia,f,"Grace, favor",Catalan
Anušauskas,m,Unknown,Unknown
Anás,m,Unknown,Arabic
Ané,f,"Grace, Favor",Greek
Anécia,f,Uncertain,Unknown
Anésia,f,Unknown,Unknown
Ančica,f,"Gracious, favor, grace",Slavic
Anđa,f,"Gracious, Merciful",Slavic
Anģēns,m,Unknown,Latvian
Anıl,m,"Joy, happiness, enthusiasm",Turkish
Anυpaмaн,f,"unique, incomparable",Sanskrit
Aodhán,m,"Fire, Born of fire",Irish
Apatóczky,m,Unknown,Unknown
Apertaré,,Unknown,Unknown
Aporna,f,Unknown,Unknown
Apģērbus,,,
Aramă,m,Unknown,Unknown
Aqüin,m,Uncertain,Uncertain
Arbëresh,m,"Albanian origin; possibly derived from the word Arbër, meaning 'native of Albania'",Albanian
Archaraporn,f,Unknown,Unknown
Ardí,m,"Noble, strong",Unknown
Arelí,f,"Variant of Araceli, Altar of the sky",Spanish
Arezabél,f,uncertain,uncertain
ArgiÑe,f,"Light, brightness",Basque
Ariemé,,Unknown,
Arieyèlla,f,uncertain,uncertain
Arisneé,f,Unknown,Unknown
Ariëlla,f,"Lion of God, God's Lion",Hebrew
Arló,m,"Oath, Pledge, Oath of God",Hungarian
Armağan,m/f,"gift, present",Turkish
Arsène,m,"strong, virile",French
Artë,m,"Golden, Noble",Albanian
Artūras,m,"Bear, Man, Noble",Lithuanian
Aruś,m,Unknown,Sanskrit
Arécie,f,Unknown,Unknown
Arévishan,,Unknown,Unknown
Aréon,m,Variant of Aaron; mountain of strength,Hebrew
Aríane,f,"Holy, Pious",Greek
Aríete,m,"ram, sheep, assertive, strong, powerful",Spanish
Arôme,m/f,"Aroma, fragrance",French
Arİsha,f,Unknown,Unknown
Arūnas,m,"eagle, power, strength",Lithuanian
Asaël,m,"God has created, made by God",Hebrew
Asbjørn,m,"Divine bear, God bear",Old Norse
Ashè,m/f,"life, hope, faith",Yoruba (Nigerian)
Ashé,m/f,"life, power, energy",Yoruba
Asiáh,f,Uncertain,Uncertain
Asiñero,Unknown,Unknown,Unknown
Asporça,,,
Aslı,f,"genuine, original, true",Turkish
Astishä,Unknown,Unknown,Unknown
Astrīda,f,"divine strength, beauty",Latvian
Astéri,f,"Star, Heavenly, Goddess",Greek
Astúl,Unknown,Unknown,Unknown
Asus筆記型,,Unknown,Unknown
Asé,f,"life, to be",Yoruba
Asyáh,f,Unknown,Unknown
Asér,m,uncertain,uncertain
Asım,m,"protector, guardian",Turkish
Asía,f,"Desire, Hope",Greek
AtaŞ,m,"Father, Ancestor",Turkish
Ataş,m,Unknown,Turkish
Atlaï,f,unknown,unknown
Atravín,m,Unknown,Unknown
Attaché,m,"attached, connected, liaison",French
Atrbå,,,
Atánasia,f,"immortal, eternal",Greek
Atréju,m,"Uncertain, possibly 'skilled hunter' or 'man of great strength'","Uncertain, possibly of Germanic origin"
Atúrdase,,,
Auadé,m,Unknown,Unknown
Atıf,m,"affection, compassion, politeness",Arabic
Audrée,f,"Noble strength, Strength of a Noble, Strong",French
Auksė,f,"Gold, White, Bright",Lithuanian
Aukštumala,f,"Highland, Elevated Land",Lithuanian
Aurèle,m,"Golden, The golden one",Latin
Aurélia,f,"Golden, the golden one",Latin
Aurélie,f,"Golden, Sunbeam, Shining light",French
Aurélien,m,"Golden, Gilded",Latin
AustĖja,f,"Dawn, vitality, strength",Lithuanian
Austėja,f,"Summer, Dawn",Lithuanian
Auđgi,Unknown,Unknown,Unknown
Avaneyaé,,Unknown,Unknown
Aušrinė,f,"Dawn, Morning star",Lithuanian
Aušra,f,Dawn,Lithuanian
Averæn,,Unknown,Unknown
Avinãsh,m,"Indestructible, Immortal",Sanskrit
Avión,m,"Airplane, Aviation",Spanish
Avè,m,"Bird, Messenger",Latin
Avìñãßh,m,Unknown,Unknown
Av影片,,,
Axelväska,,Unknown,Unknown
Axxxel,m,"Father of peace, Peaceful",Hebrew
Ayakabı,,Shoe,Turkish
Ayakzbı,,Unknown,Unknown
Aydoğan,m,"Moon, light",Turkish
Aydé,f,Unknown,Unknown
Aykız,f,"Moonlight, Beautiful, Bright",Turkish
Ayisyèn,,Haitian,Haitian
Aydın,m,"enlightened, clear, bright",Turkish
Ayqabı,m,Unknown,Unknown
Aytunç,m,Moon of iron,Turkish
Aytuğ,m,"Moonlight, Brightness, Shine",Turkish
Aytül,f,"Moonlight, Radiance",Turkish
Ayón,m,Unknown,Unknown
Ayça,f,"Moonlight, bright, clear",Turkish
Ayşen,f,"Moon-like, beautiful, gentle",Turkish
Ayşenur,f,"Moonlight, Brightness of the moon",Turkish
Azalaïs,f,"Noble, of good cheer",Provencal
Azalía,f,"Majestic, Beautiful, Resilient","Spanish, Arabic"
Ayşnur,f,"Moonlight, Illuminated beauty",Turkish
Azchlée,,,
Azañon,m,Unknown,Spanish
Azché,,,
Aziél,m,"Protected by God, God is my strength",Hebrew
Azuré,f,Azure blue,French
Azurí,f,Unknown,Unknown
Aásiah,m/f,uncertain,uncertain
Açaí,f,"berry, fruit",Tupi (indigenous language of Brazil)
Açelya,f,N/A,Turkish
Açucena,f,"Lily, Innocent, Pure",Portuguese
Aëgor,,Unknown,Unknown
Aéro,m,"Air, celestial, god of the atmosphere",French
Aëlia,f,Unknown,Latin
Aímer,m,Uncertain,Uncertain
Aíralos,,Unknown,Unknown
Aï,f,Unknown,Unknown
Aïcha,f,"Alive, Vivacious, Living, Full of life",Arabic
Aïchatou,f,"Life, prosperity, happiness",Arabic
Aïko,m/f,"Beloved, Little Loved One",Japanese
Aïsha,f,"Alive, prosperous, lively",Arabic
Aïssa,m,uncertain,Arabic
Aïssah,f,uncertain,Arabic
Aïssatou,f,Unknown,African
Aïzza,f,"Powerful, Honorable",Arabic
Aðalion,m,"Noble, Honorable",Ancient Greek
Aðalros,f,Noble rose,Old Norse/Icelandic
Añexa,Unknown,Unknown,Unknown
Añonuevo,,"New year, Fresh start",Spanish
Años,Not applicable,Not applicable,Not applicable
Añtia,,Unknown,Unknown
Añycia,f,Unknown,Unknown
Aýshe,f,"Life, alive",Turkish
Aÿva,f,"Life, living, animal, bird",Turkish
Aňu,f,"Grace, favor",Slavic
Aādhya,f,"First power, Goddess Durga, Most important, Supreme",Sanskrit
Aœlian,,Unknown,Unknown
Aśe,,,
Aśiah,f,uncertain,Hebrew
Ažman,m,Unknown,Unknown
Aśyah,f,uncertain,uncertain
Aनल,m,Fire,Sanskrit
Babić,m,"Son of Babi, Descendant of Babi","Croatian, Serbian"
Babybjörn,N/A,N/A,N/A
Babák,m,Unknown,Unknown
Bachtík,m,Unknown,Unknown
Badoûm,,Unknown,Unknown
Bahadır,m,"brave, courageous, valiant",Turkish
Baković,m,Meaning unknown,Croatian
Bailón,m,"Son of Baal, Lord of the castle",Spanish
Balentín,m,"strong, brave",Spanish
Balonné,Unknown,Unknown,Unknown
Baraklı,,Unknown,Unknown
Barešić,m,Unknown,Croatian
Barić,m,unknown,Croatian
Barnabás,m,Son of encouragement,Greek
Barralié,,,
Bartłomiej,m,"warrior, ploughman",Polish
Barát,m,friend,Hungarian
Barî,m,Unknown,Kurdish
Barış,m,"peace, tranquility",Turkish
Basañes,Unknown,Unknown,Unknown
Barłomiej,m,son of the furrow,Hebrew
Basım,m,"Press, Print",Arabic
Batoréu,,,
Barłomiejczyk,,Unknown,Unknown
Baïnah,f,Unknown,Unknown
Baysanğur,,,
Bayrsaïhan,m,Mountain of peace,Mongolian
Bañggilit,Unknown,Unknown,Unknown
Baño,m,unknown,unknown
Bañadera,f,Not available,Not available
Baños,m,Baths,Spanish
Bañuelos,,"Spanish surname, derived from the word 'bañuelo' meaning 'bathhouse'",Spanish
Başak,f,"harvest, ear of wheat",Turkish
Başar,m,"success, achievement",Turkish
Başkurt,m,Unknown,Turkish
Başara,m,Unkown,Turkish
Bașagă,m,Unknown,Unknown
Beachklänning,,Unknown,Unknown
Beegporn,,,
Bebé,m/f,Baby,"Spanish, Portuguese"
Bedsex,Unknown,Could not find a specific meaning for the name Bedsex,Unknown
Begoña,f,Unknown,Spanish
Begzadić,,Unknown,Unknown
Begüş,f,Unknown,Unknown
Behlül,m,"Lover, Passionate",Persian
Beleț,m,"Noble, Exceptional","Turkish, Arabic"
Beißring,m,Teething ring,German
Bektaş,m,"Devotee, adherent",Turkish
Belián,m,Unknown,Unknown
Belkıs,f,Queen of Sheba,Turkish
Belusexy,,Unknown,Unknown
Belyndaà,,,
Bellecôte,f,"Beautiful slope, beautiful mountain",French
Bellaïche,f,"Beautiful, God is gracious",Hebrew
Belém,f,Unknown,Unknown
Bendímez,m,Blessed,Spanish
Benício,m,"benevolent, blessed, good-hearted",Latin
Benjamín,m,"Son of the right hand, Son of the south, Son of my old age",Hebrew
Benõc,m,"Blessed, Good fortune",Hebrew
Benczúr,m,Unknown,Unknown
Bertašius,m,Unknown,Lithuanian
Berdén,m,Unknown,Unknown
Bexrée,,,
Betsabé,f,"oath, promise",Hebrew
Berángerè,f,"Strong bear, Brave spearman",Germanic
Bețcu,Unknown,Unknown,Unknown
Białecka,f,Unknown,Polish
Biała,f,"White, Bright, Pure",Polish
Biały,m,"white, pure, clear",Polish
Bikañen,Unknown,Unknown,Unknown
Bilić,,Unknown,Croatian
Bilé,m,"strong, powerful",Irish
Birü,m,Unknown,Unknown
Bisexual,,Bisexuals are individuals who are attracted to both males and females,Not applicable
Biébèle,,I couldn't find any specific meanings for the name Biébèle,
BjÖrksnÄs,Not applicable,Not applicable,Swedish
BjØrnar,m,"Bear-like, Bear, Strong as a bear",Norse
Björnby,m,Bear village,Norse
Björknäs,m,Meaning unknown,Swedish
Bjørg,f,"Help, Protection, Salvation",Norwegian
Bišćan,m,Unknown,Unknown
Bjørnli,m,"Bear-like, Son of Bjorn",Norwegian
Blahová,f,"Blessed, Happy",Slovak
Blusex,Unknown,Unknown,Unknown
Blánaid,f,"Pure, noble",Irish
Blog,Unknown,Unknown,Unknown
Bláthnaid,f,"Flower, Blossom",Irish
Blær,m/f,"gentle breeze, calm, serene",Icelandic
Blörpück,,,
Blürsch,Unknown,Unknown,Unknown
Bocandé,m,Unknown,Unknown
Boacă,m,Unknown,Romanian
Boglárka,f,Little lark,Hungarian
Bogumiła,f,"God's favor, gracious, pleasing, dear",Slavic
Bogusław,m,"Glory of God, Great glory",Slavic
Bogusława,f,"Glory, honor, fame",Slavic
Bogüm,m,"God's peace, God's protection",Turkish
Boloña,,Unknown,Unknown
Bolesław,m,"Great glory, Large fame, Famous leader",Slavic
Bonfolí,m,Unknown,Unknown
Boníssima,f,"Good, Kind, Virtuous",Latin
Bootsআ,m,"Nickname, Footwear",English
Boullé,m,Unknown,Unknown
Bordás,m,Unknown,Unknown
Boyandgirlxxxx,,Unknown,Unknown
Bozdoğan,m,Unnamed,Turkish
Boş,m,"Vacant, empty",Turkish
Božana,f,"Divine, Beloved",Slavic
Božena,f,"Divine, Glorious, Graceful",Slavic
Bożena,f,"Divine, Gift from God, Slavic, Polish",Slavic
Božo,m,God's gift,Slavic
Brakočević,m,Unknown,Unknown
Brakšs,,Unknown,Unknown
Braňo,m,"Defender, Protector",Slavic
Brašno,m,Flour,Slavic
Brancú,m,"Noble, Brave, Courageous",Celtic
Breña,f,"Strong, Little hill",Spanish
Brijé,f,"noble, strong, exalted",French
Brittnè,f,"From Britain, From Brittany",Celtic
Brjánn,m,"Strong, virtuous",Norse
Brkić,m,Unknown,Serbian
Bronać,m,"Strong, Protective",Irish
Briél,m,"Strong, Hills, Exalted",Hebrew
Bronią,m,"Armor, Protection",Polish
Bronisława,f,"glorious defender, she who defends",Slavic
Bronshéa,f,"Variant of Bronte, uncertain meaning",Greek
Broñola,f,Unknown,Unknown
Brucír,,Unknown,Unknown
Bruñimientos,,Unknown,Unknown
Brusojević,m,Unknown,Unknown
Bryté,f,"Bright, Radiant",English
Brzęczek,m,Unknown,Polish
Bráulio,m,"golden, shining, strong, worthy, brilliant",Latin
Brémicham,,Unknown,Unknown
Brândusa,f,"Meadow flower, Symbol of purity, Innocence",Romanian
Bríd,f,"strength, exalted one",Irish
Brídgıd,f,"Strength, Exalted one",Irish
Brídín,f,"strength, exalted, noble",Irish
Brûlée,f,"To burn, Scorched, Charred",French
Brœma,Unknown,Unknown,Unknown
Brógan,m,"sturdy, strong, ascending",Irish
Brůna,f,"Strong, Brown, Dark haired, Bear",Czech
Budimlić,m,Meaning unknown,Bosnian
Buičenka,Unknown,Unknown,Unknown
Budulică,m,Unknown,Unknown
Bukvić,Unknown,Unknown,Unknown
Bujović,Unknown,Unknown,Unknown
Bulină,f,Unknown,Unknown
Bulisová,f,unknown,unknown
Buluxxx,,,
Bushrañ,f,Good news,Arabic
Burxxxxxx,Unknown,Unknown,Unknown
Bulă,m,"Strong, Energetic",Romanian
Bułat,m,steel,Unknown
Buğra,m,"heroic, brave",Turkish
Buña,Unknown,Unknown,Unknown
BÀddest,m,"Superlative, Most excellent",English
BÉdard,m,"Brave, strong, bear-hardy",French
Bácsi,m,"Uncle, Reverend",Hungarian
BÖrje,m,Unknown,Unknown
Bàlint,m,"strong, healthy, valiant",Hungarian
Bára,f,"Stranger, Foreigner",Czech
Bánda,m,"Strong, bound, tied, enslaved",Sanskrit
Bâtards,,Unknown,Unknown
Bárcenas,,Unknown,Spanish
Bárbaro,m,"barbarian, foreign, uncivilized",Spanish
Bâties,Unknown,Unknown,Unknown
Bänziger,,,
Bär,m,Bear,German
Bärbel,f,"Foreign, Exotic",German
Bårman,m,Unknown,Unknown
Bååth,Unknown,Unknown,Unknown
Béate,f,"Blessed, Happy",French
Béchathier,,Unknown,Unknown
Béla,m,"White, Brilliant",Hungarian
Béatrice,f,"Bringer of joy, blessed, traveler, voyager",Latin
Bäußer,,Unknown,Unknown
Bélynda,f,Unknown,Unknown
Bélise,f,"Beautiful, Charming",French
Bénédicte,f,"Blessed, Highly praised",French
Béral,m,Unknown,Unknown
Bérczes,,,
Bérénice,f,Bringer of Victory,Greek
Bérivan,f,Unkown,Kurdish
Béthinie,f,Unknown,Unknown
Bình,m,"peace, calm, tranquility",Vietnamese
Bísmà,f,Unknown,Unknown
Bïe,,,
Böcskör,Unknown,Unknown,Unknown
Bödelkötter,,Unknown,Unknown
Bö,m,"Lacking, unclear meaning",German
Börta,,,
Bù,,Not known,Not known
Bùm,Unknown,Unknown,Unknown
Bøen,m,Unknown,Norwegian
Bönan,unknown,unknown,unknown
Bü,,The meaning of the name Bü is not available.,The origin of the name Bü is not available.
Bübner,m,Unknown,German
Bükert,,Unknown,Unknown
Büdü,m,Unknown,Mongolian
Bürsin,m,Unknown,Turkish
Büsra,f,"Good news, Happiness",Arabic
Büşra,f,"Good news, glad tidings",Arabic
Bülbüloğlu,m,Nightingale's son,Turkish
Bānaru,m,Unknown,Sanskrit
BŁaŻowski,,,
Bānhiru,m,Unknown,Unknown
Błaszczęć,m,Unknown,Polish
Bōkō,Unknown,Unknown,Unknown
Bıçakoğlu,m,,
Bōsh,Unknown,Unknown,Unknown
Bōshe,Unknown,Unknown,Unknown
Bảo,m,"Protector, Guardian, Treasure",Vietnamese
Cabanêz,Unknown,Unknown,Unknown
B乛lac一khan,m,"Royal, Leader, King",Mongolian
Caillín,m,"Pure, slender",Irish
Cahán,m,"Warrior, Battle, Fighter",Irish
Cailín,f,"girl, lass, young woman",Irish
Calliér,Unknown,Unknown,Unknown
Caitríona,f,"Pure, Chaste",Gaelic
Camarón,m,Shrimp,Spanish
Camaçari,Unknown,Unknown,Unknown
Cambßrt,m,Unknown,Unknown
Calças,Unknown,Unknown,Unknown
Calliére,f,"Uncertain, possibly derived from a place name","Uncertain, possibly French"
Camelithé,f,Unknown,Unknown
Camerún,,Uncertain,
Camégraphe,unknown,unknown,unknown
Cankağan,m,"Brave king, Leader of the sky",Turkish
Camélia,f,"Variant of Camellia, flower name, perfection, excellence",Latin
Caolān,m,"Thin, Slender",Irish
Caractère,m,"Character, nature, temperament",French
Caomhán,m,"Gentle, Beautiful, Kind",Irish
Cardiño,m,Unknown,Unknown
Carić,m,Unknown,Croatian
Caraïcka,f,Unknown,Unknown
Carmín,f,"Crimson, Red, Precious, Beloved",Spanish
Carlısa,f,A combination of the names Carla and Lisa,English
Carnaïns,,Unknown,Unknown
Casiño,m,"castle, fortress",Spanish
Castellà,Unknown,Unknown,Unknown
Catalína,f,"Pure, clear",Greek
Catríona,f,"pure, clear, untarnished",Gaelic
Cauê,m,Not available,Native American
Cavém,,Unknown,Unknown
Cauã,m,"Hawk, Falcon",Tupi-Guarani
Cañadilla,f,"Small cane, reed, groove",Spanish
Cañonero,m,"Cannon, Gunner",Spanish
Cañota,,Unknown,Unknown
Cañón,m,Canyon,Spanish
Caŕillo,,Unknown,Unknown
Caえ,f,"pure, chaste",Latin
Cecília,f,"Blind, Sixth",Latin
Cedían,m,"Warrior, Mighty in Battle",Irish
Celadeña,f,Unknown,Unknown
Cedió,m,Unknown,Unknown
Cersex,Unknown,Unknown,Unknown
Cerón,m,Unknown,Unknown
Cetanā,f,"consciousness, perception",Sanskrit
Ceña,f,Unknown,Unknown
Chadé,f,Unknown,Unknown
Ceímin,m,Unknown,Irish
Chamé,Unknown,Unknown,Unknown
Chandrè,m,"moon, shining",Sanskrit
ChanÉe,f,Unknown,Unknown
Chané,f,Unknown,Unknown
Chantè,f,"Sung, To Sing",French
Chandréa,f,"Variant of Andrea, Strong, courageous",Greek
Charmoné,f,"Charm, Grace",Unknown
Charnè,f,Unknown,Unknown
CharnÉ,f,"Modern invention, undefined meaning",Modern English
Chauntá,f,"Singer, Song, Melody",American
Chardonét,m,Unknown,Unknown
Chavêtta,f,Unknown,Unknown
Chaunté,f,"Singing, enchanting",French
Chavanté,m,Unknown,Unknown
Chaïb,m,"Life, alive",Arabic
Chaïma,f,"Desire, Wish, Aspiration",Arabic
Chaïnez,f,Unknown,Arabic
Chechișan,Unknown,Unknown,Unknown
Chemoné,f,Unknown,Unknown
Chedève,m,Unknown,Unknown
Cherié,f,"Beloved, Dear",French
Cheëvelly,,,
CherÉ,f,"Dear, beloved",French
Chevrè,f,"Noble, goat, cherished",French
Chirapornsuk,,,
Chimère,f,"mythical creature, fantasy, imagination",French
Chodań,m,Unknown,Polish
Chloé,f,"blooming, verdant, fresh",Greek
Chloè,f,"blooming, verdant, fresh",Greek
Chrismoné,f,"Beloved, follower of Christ",Greek
Christslía,f,Unknown,Unknown
Chryseïs,f,"Golden, Most Beautiful",
Chréscènthyâ,Unknown,Unknown,Unknown
Chárlalo,Unknown,Unknown,Unknown
Châlus,Unknown,Unknown,Unknown
Châm,m,Unknown,Unknown
Chéri,m/f,"Beloved, Dear",French
Chèvre,f,Goat,French
Chèvris,Unknown,Unknown,Unknown
Ché,m,"Beloved, darling",Spanish
Chévonne,f,"Beautiful, Gracious",Irish
Chōchō,f,Butterfly,Japanese
Ciamè,m/f,Unknown,Unknown
Ciaràn,m,"Dark-haired, Little dark one",Irish
Chūya,m,"loyalty, night, moonlight",Japanese
Ciará,f,"Dark, Black",Irish
Ciavoĺo,,Unknown,Unknown
Ciaシkratos,,,
Ciboné,Unknown,Unknown,Unknown
Cidyło,,Unknown,Unknown
Cinetrò,,,
Cilício,m,Unknown,Unknown
Cignè,f,"Sing, To perform in solfa style",Italian
Cinasex,,Unknown,Unknown
Ciríaco,m,"martyr, beloved, lord",Latin
