id,name,meanings,gender,pronunciation,popularity
174,Aadhyaa,"First, Beginning",Feminine,,
173,Aadhya,"Primal Force, First Power Of Existence, Goddess Durga",Feminine,Ah-dhyaa,
169,Aadhvika,"Unique, Incomparable, One And Only",Feminine,ah-dhvi-kah,
179,Aadhyareddy,"First, Beginning",Unisex,,
176,Aadhyan,"Foundation, Beginning, Strength",Masculine,AH-dhee-ahn,
177,Aadhyant,"Beginning, First, Principal",Masculine,AAD-yant,
180,Aadhyashree,"Primordial Goddess, The First Divine Shakti, Goddess Lakshmi",Feminine,aa-DHyaa-shree,
181,Aadhyasri,The First Goddess,Feminine,aa-THyaa-sree,
183,Aadhyavi,"First, Beginning, Origin",Feminine,aa-dhya-vi,
185,Aadi,"First, Beginning, Sun",Masculine,aa-di,87
188,Aadidev,"First God, Primal God, Lord Of The Universe",Masculine,aa-dee-dev,
175,Aadhyah,"Beginning, Start, First",Feminine,ah-dhyah,90
186,Aadia,"Gift, Precious, Jewel",Feminine,aa-dee-ya,
182,Aadhyatma,"Spirituality, Inner Self, Divine Knowledge",Unisex,ah-dhyah-tma,
192,Aadijay,"First King, First Victor, First Winner",Masculine,aah-di-jay,
189,Aadie,"Noble, Prosperity, Wealth",Masculine,EY-dee,
193,Aadik,"Beginning, Origin, Founding Father",Masculine,AH-dee-k,
198,Aadila,"Fair, Just",Feminine,aa-DEE-lah,50
187,Aadian,"Adorned, Sun, First",Masculine,AH-dee-ahn,
197,Aadil,"Just, Honest, Noble",Masculine,AH-dihl,75
199,Aadilah,"Just, Fair, Upright",Feminine,ah-dee-lah,
200,Aadilakshmi,First Wealth Of Goddess Lakshmi,Feminine,aa-DEE-lahk-shmee,
202,Aadimoolan,The First Man,Masculine,aah-dee-moh-lahn,
191,Aadih,"Sun, First, Glorious",Masculine,AA-dee,
201,Aadilynn,"Noble, Strong, Warrior",Feminine,a-di-lin,75
204,Aadina,"Gentle And Beautiful, First, Most Beautiful; Goddess Saraswati",Feminine,ah-DEE-na,
206,Aadinath,"First Of Lords, First Jain Tirthankara",Masculine,AH-dee-nath,
203,Aadin,"Unique, Supreme, Powerful",Masculine,AH-deen,57
207,Aadinathan,"King Of The Gods, Lord Of The Universe, Sun",Masculine,aa-din-aa-than,
209,Aadir,"Ray Of Light, Radiance, Spark",Masculine,AH-deer,
205,Aadinadh,"The First Lord, The One Who Is Worshipped At The Start Of Anything.",Masculine,ah-dee-nadh,
210,Aadira,"First, Respect, Powerful",Feminine,AA-dee-raa,
208,Aadipta,"Able, Powerful, Strength",Masculine,aah-deep-tah,37
214,Aadiseshu,"Lord Vishnu'S Serpent, Eternal Serpent, Infinite Serpent",Masculine,aa-di-se-shu,
211,Aadiraj,Beginning,Masculine,aa-dee-raj,
